-0.033062' -0.042029' 1.000888' -1.216250' -0.096250' -2.187500' -0.032739' 0.083601' 0.109909
-0.031598' -0.045506' 1.016626' -1.435000' -0.227500' -0.113750' -0.025723' 0.074540' 0.097632
-0.029829' -0.045384' 1.014918' -1.137500' -0.446250' -0.157500' -0.025723' 0.074540' 0.097632
-0.031110' -0.046238' 1.016504' -1.330000' -0.122500' 2.003750' -0.028062' 0.082140' 0.114440
-0.030744' -0.046299' 1.016199' -1.382500' -0.236250' -0.087500' -0.029231' 0.076586' 0.097340
-0.031598' -0.045262' 1.017053' -1.146250' -0.201250' 0.087500' -0.029231' 0.076586' 0.097340
-0.032086' -0.044042' 1.017114' -1.321250' -0.586250' -2.213750' -0.033324' 0.082140' 0.103625
-0.046848' -0.044164' 1.015772' -1.190000' -0.297500' 0.000000' -0.036247' 0.084478' 0.101578
-0.032025' -0.044164' 1.016321' -0.988750' -0.577500' -2.161250' -0.036247' 0.084478' 0.101578
-0.029829' -0.044042' 1.016138' -1.356250' -0.446250' -0.183750' -0.022508' 0.076293' 0.091055
-0.016958' -0.044713' 1.017602' -1.382500' -0.262500' -0.140000' -0.030693' 0.081555' 0.100848
-0.032574' -0.043798' 1.030351' -1.172500' -0.367500' -0.113750' -0.030693' 0.081555' 0.100848
-0.032147' -0.043859' 1.017419' -1.163750' -0.420000' -0.096250' -0.023677' 0.079217' 0.095440
-0.032574' -0.045323' 1.016138' -1.058750' -0.026250' -0.017500' -0.021339' 0.083309' 0.100555
-0.031842' -0.044042' 1.016260' -1.338750' -0.350000' 2.038750' -0.021339' 0.083309' 0.100555
-0.045262' -0.044774' 1.018944' -1.023750' -0.533750' -0.061250' -0.026308' 0.077755' 0.095878
-0.045445' -0.045567' 1.017358' -1.365000' -0.271250' -0.227500' -0.033324' 0.086524' 0.103917
-0.032513' -0.045506' 1.019005' -1.093750' -0.393750' 0.043750' -0.033324' 0.086524' 0.103917
-0.016287' -0.044469' 1.018212' -1.093750' -0.507500' -0.122500' -0.030108' 0.073663' 0.101432
-0.032330' -0.044713' 1.017358' -1.303750' -0.367500' 0.043750' -0.028354' 0.077463' 0.100117
-0.032940' -0.043981' 1.017114' -0.988750' -0.201250' 2.152500' -0.028354' 0.077463' 0.100117
-0.032025' -0.044652' 1.016626' -1.085000' -0.516250' 0.000000' -0.028062' 0.082140' 0.100263
-0.030195' -0.045933' 1.017114' -1.155000' -0.402500' -2.231250' -0.021923' 0.075124' 0.107425
-0.031415' -0.045506' 1.017724' -1.163750' -0.367500' -0.227500' -0.021923' 0.075124' 0.107425
-0.046360' -0.044591' 1.017480' -1.163750' -0.253750' 0.166250' -0.022216' 0.084478' 0.098948
-0.030256' -0.045262' 1.016809' -1.295000' -0.183750' -2.213750' -0.023970' 0.081263' 0.098655
-0.032025' -0.045567' 1.017785' -1.356250' -0.341250' 0.008750' -0.023970' 0.090032' 0.103625
-0.030439' -0.042578' 1.016504' -1.163750' -0.402500' -0.157500' -0.020462' 0.090032' 0.103625
