,xl_x: g,xl_y: g,xl_z: g,gr_x: deg/s,gr_y: deg/s,gr_z: deg/s,mg_x/gauss,mg_y/gauss,mg_z/gauss,orient_x/deg,orient_y/deg,orient_z/deg,pos_x/m,pos_y/m,pos_z/m
136,-0.007930,-1.024495,0.092415,-4.45375,0.083125,-0.459375,-0.650395,0.318036,0.081263,-85.443405,-0.319089,-170.811615,0.015158,0.008276,0.024290
137,-0.009821,-1.026569,0.071492,-11.685625,-0.135625,-0.28,-0.650395,0.318036,0.081263,-85.614479,-0.317316,-170.808792,0.015726,-0.002152,0.030204
138,-0.007564,-1.023946,0.062891,-13.173125,0.013125,-0.196875,-0.650395,0.318036,0.081263,-85.891151,-0.313932,-170.803650,0.011274,0.012608,0.026026
139,-0.008357,-1.017907,0.04331,-13.475,-0.23625,-0.240625,-0.650395,0.318036,0.081263,-86.17437,-0.312499,-170.803787,0.009744,0.026610,0.018720
140,-0.004087,-1.01687,0.026474,-12.464375,-0.09625,-0.16625,-0.650395,0.318036,0.081263,-86.479881,-0.31077,-170.804520,0.003680,0.036456,0.019370
141,-0.004514,-1.023702,0.031476,-9.0825,-0.04375,-0.28875,-0.650395,0.318036,0.081263,-86.651337,-0.310259,-170.808014,0.007082,0.027941,0.019158
142,-0.009455,-1.024495,0.032818,-12.639375,-0.0525,-0.135625,-0.650395,0.318036,0.081263,-86.89521,-0.305887,-170.811020,0.015942,0.025603,0.024929
143,-0.005917,-1.017053,0.008662,-10.73625,0.0175,-0.28875,-0.650395,0.318036,0.081263,-87.180092,-0.305606,-170.817459,0.004545,0.042670,0.016441
144,-0.007869,-1.025654,0.022631,-9.485,-0.065625,-0.345625,-0.650395,0.318036,0.081263,-87.393082,-0.304411,-170.824356,0.009272,0.025862,0.025814
145,-0.004758,-1.023641,0.006771,-13.645625,-0.118125,-0.1925,-0.650395,0.318036,0.081263,-87.609947,-0.303214,-170.827957,0.005490,0.034627,0.026151
146,-0.008052,-1.013271,-0.01647,-10.14125,-0.04375,-0.2625,-0.650395,0.318036,0.081263,-87.892662,-0.300464,-170.836121,0.005479,0.056078,0.009433
147,-0.007503,-1.022665,0.000366,-5.858125,0.035,-0.2975,-0.650395,0.318036,0.081263,-88.057915,-0.300459,-170.848343,0.007203,0.035906,0.022277
148,-0.007320,-1.021872,-0.0122,-8.290625,-0.07,-0.28,-0.650395,0.318036,0.081263,-88.244507,-0.300557,-170.858398,0.005561,0.044967,0.021201
