,xl_x: g,xl_y: g,xl_z: g,gr_x: deg/s,gr_y: deg/s,gr_z: deg/s,mg_x/gauss,mg_y/gauss,mg_z/gauss,orient_x/deg,orient_y/deg,orient_z/deg,pos_x/m,pos_y/m,pos_z/m
528,0.079483,-0.988688,-0.28121,-37.331875,-3.705625,-0.37625,0.18328,0.379421,-0.442414,-108.229546,-4.659447,70.04113,-0.04085,0.010154,0.03029
529,0.093147,-0.984357,-0.311771,-53.860626,-5.118750,0.153125,0.18328,0.379421,-0.442414,-109.203011,-4.627705,70.127968,-0.032492,0.016106,0.056274
530,0.069174,-0.933788,-0.364536,-44.471874,-4.939375,0.16625,0.18328,0.379421,-0.442414,-110.223656,-4.593971,70.221275,0.017957,-0.012594,-0.011863
531,0.054656,-0.858819,-0.415471,-43.430626,-4.475625,0.809375,0.18328,0.379421,-0.442414,-111.114067,-4.538226,70.300896,0.064306,-0.044153,-0.04247
532,0.039772,-0.823134,-0.513376,-20.903749,-2.025625,1.518125,0.18328,0.379421,-0.442414,-111.864563,-4.47471,70.361397,0.132541,-0.081219,-0.036098
533,0.055998,-0.892003,-0.425475,1.561875,-0.822500,1.98625,0.18328,0.379421,-0.442414,-111.991753,-4.426929,70.368614,0.063647,-0.047705,-0.024181
534,0.042029,-0.865468,-0.473482,-1.295000,-0.573125,2.56375,0.18328,0.379421,-0.442414,-112.097656,-4.350447,70.36673,0.103911,-0.07152,-0.028443
535,0.048251,-0.892491,-0.422547,-2.813125,-0.678125,3.14125,0.18328,0.379421,-0.442414,-112.117844,-4.272204,70.358513,0.043908,-0.044199,-0.01751
536,0.037698,-0.860039,-0.473238,-17.119375,-1.938125,3.556875,0.18328,0.379421,-0.442414,-112.529030,-4.171772,70.373177,0.090362,-0.067887,-0.024017
537,0.05185,-0.864492,-0.493185,-0.796250,-0.511875,3.495625,0.18328,0.379421,-0.442414,-112.635292,-4.094379,70.360382,0.10928,-0.059184,-0.011013
538,0.033611,-0.848998,-0.48556,-11.213125,-0.105000,3.395,0.18328,0.379421,-0.442414,-112.905472,-4.008314,70.350143,0.098706,-0.071938,-0.028895
539,0.042273,-0.878156,-0.512156,10.885000,1.106875,3.504375,0.18328,0.379421,-0.442414,-112.880737,-3.938593,70.314911,0.113917,-0.069741,0.008807
540,0.059292,-0.948489,-0.470066,-3.005625,0.472500,3.29,0.18328,0.379421,-0.442414,-112.850807,-3.875065,70.27774,0.057158,-0.033728,0.058313
541,0.037271,-0.912682,-0.479277,-7.783125,0.188125,2.7125,0.18328,0.379421,-0.442414,-113.038536,-3.808039,70.256699,0.073394,-0.060383,0.021998
542,0.036539,-0.953674,-0.484462,-6.860000,0.472500,2.94875,0.18328,0.379421,-0.442414,-113.257294,-3.739088,70.239449,0.041299,-0.053814,0.087439
543,0.033245,-0.986004,-0.407663,-0.770000,0.205625,2.909375,0.18328,0.379421,-0.442414,-113.289902 -3.676252,70.210716,0.008127,-0.040099,0.048336,
544,0.041968,-0.948123,-0.453413,-33.044376,-1.185625,2.94875,0.18328,0.379421,-0.442414,-113.832977,-3.58364,70.207291,0.021953,-0.031012,0.074007
